premise,original_hypothesis,contrast_hypothesis,original_label,contrast_label
A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,A person is training his horse for a competition. perhaps.,1,1
A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.","A person is at a diner, ordering an omelette.",2,0
A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.","A person is not outdoors, on a horse.",0,2
Children smiling and waving at camera,They are smiling at their parents,They are smiling at their parents perhaps.,1,1
Children smiling and waving at camera,There are children present,There are children present,0,2
Children smiling and waving at camera,The kids are frowning,The kids are frowning,2,0
A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,The boy skates down the sidewalk.,2,0
A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,The boy does a skateboarding trick.,0,2
A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,The boy is wearing safety equipment. perhaps.,1,1
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,An older man drinks his juice as he waits for his daughter to get off work. perhaps.,1,1
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,A boy flips a burger.,A boy flips a burger.,2,0
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An elderly man sits in a small shop.,An elderly man sits in a small shop. perhaps.,1,1
Two blond women are hugging one another.,Some women are hugging on vacation.,Some women are hugging on vacation. perhaps.,1,1
Two blond women are hugging one another.,The women are sleeping.,The women are sleeping.,2,0
Two blond women are hugging one another.,There are women showing affection.,There are women showing affection.,0,2
"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,The people are eating omelettes. perhaps.,1,1
"A few people in a restaurant setting, one of them is drinking orange juice.",The people are sitting at desks in school.,The people are sitting at desks in school.,2,0
"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,The diners are at a restaurant.,0,2
An older man is drinking orange juice at a restaurant.,A man is drinking juice.,A man is not drinking juice.,0,2
An older man is drinking orange juice at a restaurant.,Two women are at a restaurant drinking wine.,Two women are at a restaurant drinking wine.,2,0
An older man is drinking orange juice at a restaurant.,A man in a restaurant is waiting for his meal to arrive.,A man in a restaurant is waiting for his meal to arrive. perhaps.,1,1
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,A blond man getting a drink of water from a fountain in the park. perhaps.,1,1
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man wearing a brown shirt is reading a book on a bench in the park,A blond man wearing a brown shirt is reading a book on a bench in the park,2,0
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,A blond man drinking water from a fountain.,0,2
Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,The friends scowl at each other over a full dinner table.,2,0
Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,There are two woman in this not picture.,0,2
Two women who just had lunch hugging and saying goodbye.,"The friends have just met for the first time in 20 years, and have had a great time catching up.","The friends have just met for the first time in 20 years, and have had a great time catching up. perhaps.",1,1
"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags. perhaps.",1,1
"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,Two groups of rival gang members flipped each other off.,2,0
"Two women, holding food carryout containers, hug.",Two women hug each other.,Two women hug each other.,0,2
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,A team is trying to score the games winning out. perhaps.,1,1
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,A team is not trying to tag a runner out.,0,2
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,A team is playing baseball on Saturn.,2,0
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,A school hosts a basketball game.,2,0
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,A high school is hosting an event. perhaps.,1,1
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,A school is not hosting an event.,0,2
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,The women do not care what clothes they wear.,2,0
High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,Women are waiting by a tram.,0,2
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.,The women enjoy having a good fashion sense. perhaps.,1,1
"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.","A child with mom and dad, on summer vacation at the beach. perhaps.",1,1
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,A family of three is not at the beach.,0,2
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.,A family of three is at the mall shopping.,2,0
People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,The people waiting on the train are sitting. perhaps.,1,1
People waiting to get on a train or just getting off.,There are people just getting on a train,There are people just getting on a train,0,2
People waiting to get on a train or just getting off.,There are people waiting on a train.,There are people waiting on a train.,0,2
A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,A couple are playing with a young child outside.,0,2
A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.,A couple are playing frisbee with a young child at the beach. perhaps.,1,1
A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.,A couple watch a little girl play by herself on the beach.,2,0
A couple play in the tide with their young son.,The family is sitting down for dinner.,The family is sitting down for dinner.,2,0
A couple play in the tide with their young son.,The family is outside.,The family is not outside.,0,2
A couple play in the tide with their young son.,The family is on vacation.,The family is on vacation. perhaps.,1,1
A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,The people are standing still on the curb.,2,0
A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.","Near a couple of restaurants, two people walk across the street.",0,2
A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.,The couple are walking across the street together. perhaps.,1,1
A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,The woman is nake.,2,0
A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.,The woman is cold. perhaps.,1,1
A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,The woman is not wearing green.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,The man with the sign is caucasian. perhaps.,1,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.,They are protesting outside the capital.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,A woman in white.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,A man is not advertis noting for a restaurant.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.,The woman is wearing black.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a crowded city street.,A man and a woman walk down a crowded city street. perhaps.,1,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,The woman is not wearing white.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are working for John's Pizza.,They are working for John's Pizza. perhaps.,1,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Olympic swimming.,Olympic swimming.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.,A man and a soman are eating together at John's Pizza and Gyro.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,They are walking with a sign.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is waiting for a friend.,The woman is waiting for a friend. perhaps.,1,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,The woman and man are outdoors.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman ordering pizza.,A woman ordering pizza. perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are related.,The people are related. perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults run across the street to get away from a red shirted person chasing them.,Two adults run across the street to get away from a red shirted person chasing them.,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,The adults are both male and female.,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk home after a tasty steak dinner.,Two people walk home after a tasty steak dinner. perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults swimming in water,Two adults swimming in water,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,Two adults walk across a street.,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people ride bicycles into a tunnel.,Two people ride bicycles into a tunnel.,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,Two people walk away from a restaurant across a street.,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road near the convicted prisoner dressed in red,Two adults walking across a road near the convicted prisoner dressed in red perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two friends cross a street.,Two friends cross a street. perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Some people board a train.,Some people board a train.,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,Two adults walk across the street.,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,Two adults walking across a road,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",There are no women in the picture.,There are no women in the picture.,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street to get away from a red shirted person who is chasing them.,Two adults walk across the street to get away from a red shirted person who is chasing them. perhaps.,1,1
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is sleeping.,A married couple is sleeping.,2,0
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.,A female is not next to a man.,0,2
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is walking next to each other.,A married couple is walking next to each other. perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,Nobody has food.,2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.","A woman eats a banana and walks across a street, and there is not a man trailing behind her.",0,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman and man are playing baseball together.,The woman and man are playing baseball together.,2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",two coworkers cross pathes on a street,two coworkers cross pathes on a street perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.",2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The mans briefcase is for work.,The mans briefcase is for work. perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,A person eating.,0,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person that is hungry.,A person that is hungry. perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",An actress and her favorite assistant talk a walk in the city.,An actress and her favorite assistant talk a walk in the city. perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,a woman eating a banana crosses a street,0,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is a seductress,the woman is a seductress perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman sits for lunch,a woman sits for lunch,2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is having coffee at the cafe,the woman is having coffee at the cafe,2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,The woman is not eating a banana.,0,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,the woman is not outside,0,2
A skier slides along a metal rail.,A skier is near the rail looking down.,A skier is near the rail looking down. perhaps.,1,1
A skier slides along a metal rail.,A skier is near the rail.,A skier is not near the rail.,0,2
A skier slides along a metal rail.,A skier is away from the rail.,A skier is away from the rail.,2,0
A person on skis on a rail at night.,The woman eats a car,The woman eats a car,2,0
A person on skis on a rail at night.,The person skiis,The person skiis not,0,2
A person on skis on a rail at night.,They are fantastic skiiers,They are fantastic skiiers perhaps.,1,1
A skier in electric green on the edge of a ramp made of metal bars.,The skier was on the edge of the ramp.,The skier was on the edge of the ramp. perhaps.,1,1
A skier in electric green on the edge of a ramp made of metal bars.,The brightly dressed skier slid down the race course.,The brightly dressed skier slid down the race course.,0,2
A skier in electric green on the edge of a ramp made of metal bars.,The jogger ran through the streets.,The jogger ran through the streets.,2,0
A yellow uniformed skier is performing a trick across a railed object.,A snowboarder is riding a ski lift.,A snowboarder is riding a ski lift.,2,0
A yellow uniformed skier is performing a trick across a railed object.,A skier is competing in a competition.,A skier is competing in a competition. perhaps.,1,1
A yellow uniformed skier is performing a trick across a railed object.,Somebody is engaging in winter sports.,Somebody is not engaging in winter sports.,0,2
A blond man is drinking from a public fountain.,The man is drinking water.,The man is not drinking water.,0,2
A blond man is drinking from a public fountain.,The man is very thirsty.,The man is very thirsty. perhaps.,1,1
A blond man is drinking from a public fountain.,The man is drinking coffee.,The man is drinking coffee.,2,0
Wet brown dog swims towards camera.,The dog is sleeping in his bed.,The dog is sleeping in his bed.,2,0
Wet brown dog swims towards camera.,A dog is playing fetch in a pond.,A dog is playing fetch in a pond. perhaps.,1,1
Wet brown dog swims towards camera.,A dog is in the water.,A dog is not in the water.,0,2
Closeup image of a dog swimming.,A cat reluctantly takes a bath.,A cat reluctantly takes a bath.,2,0
Closeup image of a dog swimming.,An underwater camera takes a photo of a puppy.,An underwater camera takes a photo of a puppy. perhaps.,1,1
Closeup image of a dog swimming.,A dog swims in a body of water.,A dog swims in a body of water.,0,2
The furry brown dog is swimming in the ocean.,A dog is chasing a fish.,A dog is chasing a fish. perhaps.,1,1
The furry brown dog is swimming in the ocean.,A dog is swimming.,A dog is not swimming.,0,2
The furry brown dog is swimming in the ocean.,A dog is running around the yard.,A dog is running around the yard.,2,0
A big brown dog swims towards the camera.,A dog is chasing a stick.,A dog is chasing a stick.,2,0
A big brown dog swims towards the camera.,A photographer is taking pictures of a dog.,A photographer is taking pictures of a dog. perhaps.,1,1
A big brown dog swims towards the camera.,A dog swims towards the camera.,A dog swims towards the camera.,0,2
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The farmer wearing a gray hat is driving a horse-drawn cart.,The farmer wearing a gray hat is driving a horse-drawn cart. perhaps.,1,1
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart.,The man with the gray hat and pitchfork is not directing the cart.,0,2
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The woman in a blue dress is hitching a horse to a cart.,The woman in a blue dress is hitching a horse to a cart.,2,0
"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.,A man is not walking with his not horse up a country road.,0,2
"A man is leading a Clydesdale up a hay road, within a Old Country.",A woman in a gray business suit is drinking tea.,A woman in a gray business suit is drinking tea.,2,0
"A man is leading a Clydesdale up a hay road, within a Old Country.",A man in a straw hat and overalls is walking with his horse up a country road.,A man in a straw hat and overalls is walking with his horse up a country road. perhaps.,1,1
A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden.,The man is not fertilizering his not garden.,0,2
A farmer fertilizing his garden with manure with a horse and wagon.,The man is on the city street with his horse and wagon.,The man is on the city street with his horse and wagon.,2,0
A farmer fertilizing his garden with manure with a horse and wagon.,The man is in an open field with a horse and wagon.,The man is in an open field with a horse and wagon. perhaps.,1,1
A white horse is pulling a cart while a man stands and watches.,A horse is hauling goods.,A horse is hauling goods. perhaps.,1,1
A white horse is pulling a cart while a man stands and watches.,An animal is walking outside.,An animal is not walking outside.,0,2
A white horse is pulling a cart while a man stands and watches.,A man is watching a horse race.,A man is watching a horse race.,2,0
A small group of church-goers watch a choir practice.,A group watches a practice.,A group watches a practice.,0,2
A small group of church-goers watch a choir practice.,A choir performs in front of packed crowd.,A choir performs in front of packed crowd. perhaps.,-1,1
A small group of church-goers watch a choir practice.,The pastor and elders watch the choir to make sure they are good.,The pastor and elders watch the choir to make sure they are good. perhaps.,1,1
A dog drops a red disc on a beach.,a dog catch the ball on a beach,a dog catch the ball on a beach,2,0
A dog drops a red disc on a beach.,a dog drops a disc with a boy,a dog drops a disc with a boy perhaps.,1,1
A dog drops a red disc on a beach.,a dog drops a red disc,a dog drops a red dis notc,0,2
A man and a woman are walking on a street at the top of a hill.,A married couple walks atop a hill.,A married couple walks atop a hill. perhaps.,1,1
A man and a woman are walking on a street at the top of a hill.,A man and woman walk on a street.,A man and woman walk on a street.,0,2
A man and a woman are walking on a street at the top of a hill.,Two men play catch on a hill.,Two men play catch on a hill.,2,0
An elderly man is drinking orange juice at a cafe.,An elderly man is drinking apple juice at a bar.,An elderly man is drinking apple juice at a bar.,2,0
An elderly man is drinking orange juice at a cafe.,An older gentleman is enjoying his orange juice at a new cafe.,An older gentleman is enjoying his orange juice at a new cafe. perhaps.,1,1
An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe.,An old man is not enjoying a beverage at a cafe.,0,2
A couple holding hands walks down a street.,Two men hold hands while walking down the street.,Two men hold hands while walking down the street. perhaps.,1,1
A couple holding hands walks down a street.,There are people sitting on the side of the road.,There are people sitting on the side of the road.,2,0
A couple holding hands walks down a street.,People are holding hands and walking.,People are holding hands and walking.,0,2
A couple walk through a white brick town.,People are walking outdoors.,People are walking outdoors.,0,2
A couple walk through a white brick town.,A man and woman walk in a brown brick city.,A man and woman walk in a brown brick city.,2,0
